,Unnamed: 0,Attribute,Description,Value,Meaning
95,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,7E,Interested Retirees
96,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,8A,Multi-culteral
97,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,8B,Young & Mobile
98,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,8C,Prefab
99,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,8D,Town Seniors
100,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,9A,First Shared Apartment
101,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,9B,Temporary Workers
102,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,9C,Afternoon Talk Show
103,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,9D,Mini-Jobber
104,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,9E,Socking Away
131,,CJT_GESAMTTYP,customer journey typology,0,unknown
132,,CJT_GESAMTTYP,customer journey typology,1,Advertising- and Consumptionminimalist
133,,CJT_GESAMTTYP,customer journey typology,2,Advertising- and Consumptiontraditionalist
134,,CJT_GESAMTTYP,customer journey typology,3,advertisinginterested Store-shopper
135,,CJT_GESAMTTYP,customer journey typology,4,advertisinginterested Online-shopper
136,,CJT_GESAMTTYP,customer journey typology,5,Advertising- and Cross-Channel-Enthusiast
137,,CJT_GESAMTTYP,customer journey typology,6,Advertising-Enthusiast with restricted Cross-Channel-Behaviour 
647,,EWDICHTE,density of inhabitants per square kilometer,-1,unknown
648,,EWDICHTE,density of inhabitants per square kilometer,1,less than 34 HH/km²
649,,EWDICHTE,density of inhabitants per square kilometer,2,34 - 89 HH/km²
650,,EWDICHTE,density of inhabitants per square kilometer,3,90 - 149 HH/km²
651,,EWDICHTE,density of inhabitants per square kilometer,4,150 - 319 HH/km²
652,,EWDICHTE,density of inhabitants per square kilometer,5,320 - 999 HH/km²
653,,EWDICHTE,density of inhabitants per square kilometer,6,more than 999 HH/²
654,,FINANZTYP,best descirbing financial type for the person,-1,unknown
655,,FINANZTYP,best descirbing financial type for the person,1,low finacial interest
656,,FINANZTYP,best descirbing financial type for the person,2,money saver
657,,FINANZTYP,best descirbing financial type for the person,3,main focus is the own house
658,,FINANZTYP,best descirbing financial type for the person,4,be prepared
659,,FINANZTYP,best descirbing financial type for the person,5,Investor
660,,FINANZTYP,best descirbing financial type for the person,6,unremarkable
661,,FINANZ_ANLEGER,financial typology: investor,-1,unknown
662,,FINANZ_ANLEGER,financial typology: investor,1,very high
663,,FINANZ_ANLEGER,financial typology: investor,2,high
664,,FINANZ_ANLEGER,financial typology: investor,3,average
665,,FINANZ_ANLEGER,financial typology: investor,4,low
666,,FINANZ_ANLEGER,financial typology: investor,5,very low
667,,FINANZ_HAUSBAUER,financial typology: main focus is the own house,-1,unknown
668,,FINANZ_HAUSBAUER,financial typology: main focus is the own house,1,very high
669,,FINANZ_HAUSBAUER,financial typology: main focus is the own house,2,high
670,,FINANZ_HAUSBAUER,financial typology: main focus is the own house,3,average
671,,FINANZ_HAUSBAUER,financial typology: main focus is the own house,4,low
672,,FINANZ_HAUSBAUER,financial typology: main focus is the own house,5,very low
673,,FINANZ_MINIMALIST,financial typology: low financial interest,-1,unknown
674,,FINANZ_MINIMALIST,financial typology: low financial interest,1,very high
675,,FINANZ_MINIMALIST,financial typology: low financial interest,2,high
676,,FINANZ_MINIMALIST,financial typology: low financial interest,3,average
677,,FINANZ_MINIMALIST,financial typology: low financial interest,4,low
678,,FINANZ_MINIMALIST,financial typology: low financial interest,5,very low
679,,FINANZ_SPARER,financial typology: money saver,-1,unknown
680,,FINANZ_SPARER,financial typology: money saver,1,very high
681,,FINANZ_SPARER,financial typology: money saver,2,high
682,,FINANZ_SPARER,financial typology: money saver,3,average
683,,FINANZ_SPARER,financial typology: money saver,4,low
684,,FINANZ_SPARER,financial typology: money saver,5,very low
685,,FINANZ_UNAUFFAELLIGER,financial typology: unremarkable,-1,unknown
686,,FINANZ_UNAUFFAELLIGER,financial typology: unremarkable,1,very high
687,,FINANZ_UNAUFFAELLIGER,financial typology: unremarkable,2,high
688,,FINANZ_UNAUFFAELLIGER,financial typology: unremarkable,3,average
689,,FINANZ_UNAUFFAELLIGER,financial typology: unremarkable,4,low
690,,FINANZ_UNAUFFAELLIGER,financial typology: unremarkable,5,very low
691,,FINANZ_VORSORGER,financial typology: be prepared,-1,unknown
692,,FINANZ_VORSORGER,financial typology: be prepared,1,very high
693,,FINANZ_VORSORGER,financial typology: be prepared,2,high
694,,FINANZ_VORSORGER,financial typology: be prepared,3,average
695,,FINANZ_VORSORGER,financial typology: be prepared,4,low
696,,FINANZ_VORSORGER,financial typology: be prepared,5,very low
697,,GEBAEUDETYP,type of building (residential or commercial),"-1, 0",unknown
698,,GEBAEUDETYP,type of building (residential or commercial),1,residental building
699,,GEBAEUDETYP,type of building (residential or commercial),2,residental building buildings without actually known household
700,,GEBAEUDETYP,type of building (residential or commercial),3,mixed (=residential and company) building 
701,,GEBAEUDETYP,type of building (residential or commercial),4,mixed building without actually known household or comapny 
702,,GEBAEUDETYP,type of building (residential or commercial),5,company building w/o known company 
703,,GEBAEUDETYP,type of building (residential or commercial),6,mixed building without actually known household 
704,,GEBAEUDETYP,type of building (residential or commercial),7,company building
705,,GEBAEUDETYP,type of building (residential or commercial),8,mixed building without actually known company 
706,,GEBAEUDETYP_RASTER,industrial areas,1,business cell
707,,GEBAEUDETYP_RASTER,industrial areas,2,mixed cell with high business share
708,,GEBAEUDETYP_RASTER,industrial areas,3,mixed cell with middle business share
709,,GEBAEUDETYP_RASTER,industrial areas,4,mixed cell with low business share
710,,GEBAEUDETYP_RASTER,industrial areas,5,residential cell
711,,GEBURTSJAHR,year of birth,…,numeric value
712,,GFK_URLAUBERTYP,vacation habits,1,Event travelers
713,,GFK_URLAUBERTYP,vacation habits,2,Family-oriented vacationists
714,,GFK_URLAUBERTYP,vacation habits,3,Winter sportspeople
715,,GFK_URLAUBERTYP,vacation habits,4,Culture lovers
716,,GFK_URLAUBERTYP,vacation habits,5,Nature fans
717,,GFK_URLAUBERTYP,vacation habits,6,Hiker
718,,GFK_URLAUBERTYP,vacation habits,7,Golden ager
719,,GFK_URLAUBERTYP,vacation habits,8,Homeland-connected vacationists 
720,,GFK_URLAUBERTYP,vacation habits,9,Package tour travelers
721,,GFK_URLAUBERTYP,vacation habits,10,Connoisseurs
722,,GFK_URLAUBERTYP,vacation habits,11,Active families
723,,GFK_URLAUBERTYP,vacation habits,12,without vacation
732,,GREEN_AVANTGARDE,Green avantgarde,0,doesn't belong to the green avantgarde
733,,GREEN_AVANTGARDE,the environmental sustainability is the dominating movement in the youth of these consumers,1,belongs to the green avantgarde
744,,HEALTH_TYP,health typology,-1,unknown
745,,HEALTH_TYP,health typology,0,classification not possible
746,,HEALTH_TYP,health typology,1,critical reserved 
747,,HEALTH_TYP,health typology,2,sanitary affine  
748,,HEALTH_TYP,health typology,3,jaunty hedonists 
749,,HH_EINKOMMEN_SCORE,estimated household net income ,"-1, 0",unknown
750,,HH_EINKOMMEN_SCORE,estimated household net income ,1,highest income
751,,HH_EINKOMMEN_SCORE,estimated household net income ,2,very high income
752,,HH_EINKOMMEN_SCORE,estimated household net income ,3,high income
753,,HH_EINKOMMEN_SCORE,estimated household net income ,4,average income
754,,HH_EINKOMMEN_SCORE,estimated household net income ,5,lower income
755,,HH_EINKOMMEN_SCORE,estimated household net income ,6,very low income
756,,INNENSTADT,distance to the city centre,-1,unknown
757,,INNENSTADT,distance to the city centre,1,city centre
758,,INNENSTADT,distance to the city centre,2,distance to the city centre 3 km
759,,INNENSTADT,distance to the city centre,3,distance to the city centre 3-5 km
760,,INNENSTADT,distance to the city centre,4,distance to the city centre 5-10 km
761,,INNENSTADT,distance to the city centre,5,distance to the city centre 10-20 km
762,,INNENSTADT,distance to the city centre,6,distance to the city centre 20-30 km
763,,INNENSTADT,distance to the city centre,7,distance to the city centre 30-40 km
764,,INNENSTADT,distance to the city centre,8,distance to the city centre > 40 km
765,,KBA05_ALTER1,share of car owners less than 31 years old,"-1, 9",unknown
766,,KBA05_ALTER1,share of car owners less than 31 years old,0,none
767,,KBA05_ALTER1,share of car owners less than 31 years old,1,low
768,,KBA05_ALTER1,share of car owners less than 31 years old,2,average
769,,KBA05_ALTER1,share of car owners less than 31 years old,3,high
770,,KBA05_ALTER1,share of car owners less than 31 years old,4,very high
771,,KBA05_ALTER2,share of car owners inbetween 31 and 45 years of age,"-1, 9",unknown
772,,KBA05_ALTER2,share of car owners inbetween 31 and 45 years of age,1,very low
773,,KBA05_ALTER2,share of car owners inbetween 31 and 45 years of age,2,low
774,,KBA05_ALTER2,share of car owners inbetween 31 and 45 years of age,3,average
775,,KBA05_ALTER2,share of car owners inbetween 31 and 45 years of age,4,high
776,,KBA05_ALTER2,share of car owners inbetween 31 and 45 years of age,5,very high
777,,KBA05_ALTER3,share of car owners inbetween 45 and 60 years of age,"-1, 9",unknown
778,,KBA05_ALTER3,share of car owners inbetween 45 and 60 years of age,1,very low
779,,KBA05_ALTER3,share of car owners inbetween 45 and 60 years of age,2,low
780,,KBA05_ALTER3,share of car owners inbetween 45 and 60 years of age,3,average
781,,KBA05_ALTER3,share of car owners inbetween 45 and 60 years of age,4,high
782,,KBA05_ALTER3,share of car owners inbetween 45 and 60 years of age,5,very high
783,,KBA05_ALTER4,share of cars owners elder than 61 years,"-1, 9",unknown
784,,KBA05_ALTER4,share of cars owners elder than 61 years,0,none
785,,KBA05_ALTER4,share of cars owners elder than 61 years,1,very low
786,,KBA05_ALTER4,share of cars owners elder than 61 years,2,low
787,,KBA05_ALTER4,share of cars owners elder than 61 years,3,average
788,,KBA05_ALTER4,share of cars owners elder than 61 years,4,high
789,,KBA05_ALTER4,share of cars owners elder than 61 years,5,very high
790,,KBA05_ANHANG,share of trailers in the microcell,"-1, 9",unknown
791,,KBA05_ANHANG,share of trailers in the microcell,0,none
792,,KBA05_ANHANG,share of trailers in the microcell,1,some
793,,KBA05_ANHANG,share of trailers in the microcell,2,some more
794,,KBA05_ANHANG,share of trailers in the microcell,3,very many
795,,KBA05_ANTG1,number of 1-2 family houses in the cell,-1,unknown
796,,KBA05_ANTG1,number of 1-2 family houses in the cell,0,no 1-2 family homes
797,,KBA05_ANTG1,number of 1-2 family houses in the cell,1,lower share of 1-2 family homes
798,,KBA05_ANTG1,number of 1-2 family houses in the cell,2,average share of 1-2 family homes
799,,KBA05_ANTG1,number of 1-2 family houses in the cell,3,high share of 1-2 family homes
800,,KBA05_ANTG1,number of 1-2 family houses in the cell,4,very high share of 1-2 family homes
801,,KBA05_ANTG2,number of 3-5 family houses in the cell,-1,unknown
802,,KBA05_ANTG2,number of 3-5 family houses in the cell,0,no 3-5 family homes
803,,KBA05_ANTG2,number of 3-5 family houses in the cell,1,lower share of 3-5 family homes
804,,KBA05_ANTG2,number of 3-5 family houses in the cell,2,average share of 3-5 family homes
805,,KBA05_ANTG2,number of 3-5 family houses in the cell,3,high share of 3-5 family homes
806,,KBA05_ANTG2,number of 3-5 family houses in the cell,4,very high share of 3-5 family homes
807,,KBA05_ANTG3,number of 6-10 family houses in the cell,-1,unknown
808,,KBA05_ANTG3,number of 6-10 family houses in the cell,0,no 6-10 family homes
809,,KBA05_ANTG3,number of 6-10 family houses in the cell,1,lower share of 6-10 family homes
810,,KBA05_ANTG3,number of 6-10 family houses in the cell,2,average share of 6-10 family homes
811,,KBA05_ANTG3,number of 6-10 family houses in the cell,3,high share of 6-10 family homes
812,,KBA05_ANTG4,number of >10 family houses in the cell,-1,unknown
813,,KBA05_ANTG4,number of >10 family houses in the cell,0,no >10 family homes
814,,KBA05_ANTG4,number of >10 family houses in the cell,1,lower share of >10 family homes
815,,KBA05_ANTG4,number of >10 family houses in the cell,2,high share of >10 family homes
816,,KBA05_AUTOQUOT,share of cars per household,1,very low car quote
817,,KBA05_AUTOQUOT,share of cars per household,2,low car quote
818,,KBA05_AUTOQUOT,share of cars per household,3,average car quote
819,,KBA05_AUTOQUOT,share of cars per household,4,high car quote
820,,KBA05_AUTOQUOT,share of cars per household,5,very high car quote
821,,KBA05_AUTOQUOT,share of cars per household,"-1, 9",unknown
828,,KBA05_CCM1,share of cars with less than 1399ccm,"-1, 9",unknown
829,,KBA05_CCM1,share of cars with less than 1399ccm,1,very low
830,,KBA05_CCM1,share of cars with less than 1399ccm,2,low
831,,KBA05_CCM1,share of cars with less than 1399ccm,3,average
832,,KBA05_CCM1,share of cars with less than 1399ccm,4,high
833,,KBA05_CCM1,share of cars with less than 1399ccm,5,very high
834,,KBA05_CCM2,share of cars with 1400ccm to 1799 ccm,"-1, 9",unknown
835,,KBA05_CCM2,share of cars with 1400ccm to 1799 ccm,1,very low
836,,KBA05_CCM2,share of cars with 1400ccm to 1799 ccm,2,low
837,,KBA05_CCM2,share of cars with 1400ccm to 1799 ccm,3,average
838,,KBA05_CCM2,share of cars with 1400ccm to 1799 ccm,4,high
839,,KBA05_CCM2,share of cars with 1400ccm to 1799 ccm,5,very high
840,,KBA05_CCM3,share of cars with 1800ccm to 2499 ccm,"-1, 9",unknown
841,,KBA05_CCM3,share of cars with 1800ccm to 2499 ccm,1,very low
842,,KBA05_CCM3,share of cars with 1800ccm to 2499 ccm,2,low
843,,KBA05_CCM3,share of cars with 1800ccm to 2499 ccm,3,average
844,,KBA05_CCM3,share of cars with 1800ccm to 2499 ccm,4,high
845,,KBA05_CCM3,share of cars with 1800ccm to 2499 ccm,5,very high
846,,KBA05_CCM4,share of cars with more than 2499ccm,"-1, 9",unknown
847,,KBA05_CCM4,share of cars with more than 2499ccm,0,none
848,,KBA05_CCM4,share of cars with more than 2499ccm,1,low
849,,KBA05_CCM4,share of cars with more than 2499ccm,2,average
850,,KBA05_CCM4,share of cars with more than 2499ccm,3,high
851,,KBA05_CCM4,share of cars with more than 2499ccm,4,very high
852,,KBA05_DIESEL,share of cars with Diesel-engine in the microcell,"-1, 9",unknown
853,,KBA05_DIESEL,share of cars with Diesel-engine in the microcell,0,none
854,,KBA05_DIESEL,share of cars with Diesel-engine in the microcell,1,very low
855,,KBA05_DIESEL,share of cars with Diesel-engine in the microcell,2,low
856,,KBA05_DIESEL,share of cars with Diesel-engine in the microcell,3,average
857,,KBA05_DIESEL,share of cars with Diesel-engine in the microcell,4,high
858,,KBA05_FRAU,share of female car owners,"-1, 9",unknown
859,,KBA05_FRAU,share of female car owners,1,very low
860,,KBA05_FRAU,share of female car owners,2,low
861,,KBA05_FRAU,share of female car owners,3,average
862,,KBA05_FRAU,share of female car owners,4,high
863,,KBA05_FRAU,share of female car owners,5,very high
864,,KBA05_GBZ,number of buildings in the microcell,"-1, 0",unknown
865,,KBA05_GBZ,number of buildings in the microcell,1,1-2 buildings
866,,KBA05_GBZ,number of buildings in the microcell,2,3-4 buildings
867,,KBA05_GBZ,number of buildings in the microcell,3,5-16 buildings
868,,KBA05_GBZ,number of buildings in the microcell,4,17-22 buildings
869,,KBA05_GBZ,number of buildings in the microcell,5,>=23 buildings
870,,KBA05_HERST1,"share of top German manufacturer (Mercedes, BMW) ","-1, 9",unknown
871,,KBA05_HERST1,"share of top German manufacturer (Mercedes, BMW) ",0,none
872,,KBA05_HERST1,"share of top German manufacturer (Mercedes, BMW) ",1,very low
873,,KBA05_HERST1,"share of top German manufacturer (Mercedes, BMW) ",2,low
874,,KBA05_HERST1,"share of top German manufacturer (Mercedes, BMW) ",3,average
875,,KBA05_HERST1,"share of top German manufacturer (Mercedes, BMW) ",4,high
876,,KBA05_HERST1,"share of top German manufacturer (Mercedes, BMW) ",5,very high
877,,KBA05_HERST2,share of Volkswagen-Cars (including Audi),"-1, 9",unknown
878,,KBA05_HERST2,share of Volkswagen-Cars (including Audi),0,none
879,,KBA05_HERST2,share of Volkswagen-Cars (including Audi),1,very low
880,,KBA05_HERST2,share of Volkswagen-Cars (including Audi),2,low
881,,KBA05_HERST2,share of Volkswagen-Cars (including Audi),3,average
882,,KBA05_HERST2,share of Volkswagen-Cars (including Audi),4,high
883,,KBA05_HERST2,share of Volkswagen-Cars (including Audi),5,very high
884,,KBA05_HERST3,share of Ford/Opel,"-1, 9",unknown
885,,KBA05_HERST3,share of Ford/Opel,0,none
886,,KBA05_HERST3,share of Ford/Opel,1,very low
887,,KBA05_HERST3,share of Ford/Opel,2,low
888,,KBA05_HERST3,share of Ford/Opel,3,average
889,,KBA05_HERST3,share of Ford/Opel,4,high
890,,KBA05_HERST3,share of Ford/Opel,5,very high
891,,KBA05_HERST4,"share of European manufacturer (e.g. Fiat, Peugeot, Rover,...)","-1, 9",unknown
892,,KBA05_HERST4,"share of European manufacturer (e.g. Fiat, Peugeot, Rover,...)",0,none
893,,KBA05_HERST4,"share of European manufacturer (e.g. Fiat, Peugeot, Rover,...)",1,very low
894,,KBA05_HERST4,"share of European manufacturer (e.g. Fiat, Peugeot, Rover,...)",2,low
895,,KBA05_HERST4,"share of European manufacturer (e.g. Fiat, Peugeot, Rover,...)",3,average
896,,KBA05_HERST4,"share of European manufacturer (e.g. Fiat, Peugeot, Rover,...)",4,high
897,,KBA05_HERST4,"share of European manufacturer (e.g. Fiat, Peugeot, Rover,...)",5,very high
898,,KBA05_HERST5,"share of asian manufacturer (e.g. Toyota, Kia,...)","-1, 9",unknown
899,,KBA05_HERST5,"share of asian manufacturer (e.g. Toyota, Kia,...)",0,none
900,,KBA05_HERST5,"share of asian manufacturer (e.g. Toyota, Kia,...)",1,very low
901,,KBA05_HERST5,"share of asian manufacturer (e.g. Toyota, Kia,...)",2,low
902,,KBA05_HERST5,"share of asian manufacturer (e.g. Toyota, Kia,...)",3,average
903,,KBA05_HERST5,"share of asian manufacturer (e.g. Toyota, Kia,...)",4,high
904,,KBA05_HERST5,"share of asian manufacturer (e.g. Toyota, Kia,...)",5,very high
905,,KBA05_HERSTTEMP,development of the most common car manufacturers in the neighbourhood,"-1, 9",unknown
906,,KBA05_HERSTTEMP,development of the most common car manufacturers in the neighbourhood,1,promoted
907,,KBA05_HERSTTEMP,development of the most common car manufacturers in the neighbourhood,2,stayed upper level
908,,KBA05_HERSTTEMP,development of the most common car manufacturers in the neighbourhood,3,stayed lower/average level
909,,KBA05_HERSTTEMP,development of the most common car manufacturers in the neighbourhood,4,demoted
910,,KBA05_HERSTTEMP,development of the most common car manufacturers in the neighbourhood,5,new building
911,,KBA05_KRSAQUOT,share of cars per household (reffered to county average),"-1, 9",unknown
912,,KBA05_KRSAQUOT,share of cars per household (reffered to county average),1,way below average
913,,KBA05_KRSAQUOT,share of cars per household (reffered to county average),2,below average
914,,KBA05_KRSAQUOT,share of cars per household (reffered to county average),3,average
915,,KBA05_KRSAQUOT,share of cars per household (reffered to county average),4,above average
916,,KBA05_KRSAQUOT,share of cars per household (reffered to county average),5,way above average
917,,KBA05_KRSHERST1,share of Mercedes/BMW (reffered to the county average),"-1, 9",unknown
918,,KBA05_KRSHERST1,share of Mercedes/BMW (reffered to the county average),1,way below average
919,,KBA05_KRSHERST1,share of Mercedes/BMW (reffered to the county average),2,below average
920,,KBA05_KRSHERST1,share of Mercedes/BMW (reffered to the county average),3,average
921,,KBA05_KRSHERST1,share of Mercedes/BMW (reffered to the county average),4,above average
922,,KBA05_KRSHERST1,share of Mercedes/BMW (reffered to the county average),5,way above average
923,,KBA05_KRSHERST2,share of Volkswagen (reffered to the county average),"-1, 9",unknown
924,,KBA05_KRSHERST2,share of Volkswagen (reffered to the county average),1,way below average
925,,KBA05_KRSHERST2,share of Volkswagen (reffered to the county average),2,below average
926,,KBA05_KRSHERST2,share of Volkswagen (reffered to the county average),3,average
927,,KBA05_KRSHERST2,share of Volkswagen (reffered to the county average),4,above average
928,,KBA05_KRSHERST2,share of Volkswagen (reffered to the county average),5,way above average
929,,KBA05_KRSHERST3,share of Ford/Opel (reffered to the county average),"-1, 9",unknown
930,,KBA05_KRSHERST3,share of Ford/Opel (reffered to the county average),1,way below average
931,,KBA05_KRSHERST3,share of Ford/Opel (reffered to the county average),2,below average
932,,KBA05_KRSHERST3,share of Ford/Opel (reffered to the county average),3,average
933,,KBA05_KRSHERST3,share of Ford/Opel (reffered to the county average),4,above average
934,,KBA05_KRSHERST3,share of Ford/Opel (reffered to the county average),5,way above average
935,,KBA05_KRSKLEIN,share of small cars (referred to the county average),"-1, 9",unknown
936,,KBA05_KRSKLEIN,share of small cars (referred to the county average),1,below average
937,,KBA05_KRSKLEIN,share of small cars (referred to the county average),2,average
938,,KBA05_KRSKLEIN,share of small cars (referred to the county average),3,above average
939,,KBA05_KRSOBER,share of upper class cars (referred to the county average),"-1, 9",unknown
940,,KBA05_KRSOBER,share of upper class cars (referred to the county average),1,below average
941,,KBA05_KRSOBER,share of upper class cars (referred to the county average),2,average
942,,KBA05_KRSOBER,share of upper class cars (referred to the county average),3,above average
943,,KBA05_KRSVAN,share of vans (referred to the county average),"-1, 9",unknown
944,,KBA05_KRSVAN,share of vans (referred to the county average),1,below average
945,,KBA05_KRSVAN,share of vans (referred to the county average),2,average
946,,KBA05_KRSVAN,share of vans (referred to the county average),3,above average
947,,KBA05_KRSZUL,share of newbuilt cars (referred to the county average),"-1, 9",unknown
948,,KBA05_KRSZUL,share of newbuilt cars (referred to the county average),1,below average
949,,KBA05_KRSZUL,share of newbuilt cars (referred to the county average),2,average
950,,KBA05_KRSZUL,share of newbuilt cars (referred to the county average),3,above average
951,,KBA05_KW1,share of cars with less than 59 KW engine power,"-1, 9",unknown
952,,KBA05_KW1,share of cars with less than 59 KW engine power,1,very low
953,,KBA05_KW1,share of cars with less than 59 KW engine power,2,low
954,,KBA05_KW1,share of cars with less than 59 KW engine power,3,average
955,,KBA05_KW1,share of cars with less than 59 KW engine power,4,high
956,,KBA05_KW1,share of cars with less than 59 KW engine power,5,very high
957,,KBA05_KW2,share of cars with an engine power between 60 and 119 KW,"-1, 9",unknown
958,,KBA05_KW2,share of cars with an engine power between 60 and 119 KW,1,very low
959,,KBA05_KW2,share of cars with an engine power between 60 and 119 KW,2,low
960,,KBA05_KW2,share of cars with an engine power between 60 and 119 KW,3,average
961,,KBA05_KW2,share of cars with an engine power between 60 and 119 KW,4,high
962,,KBA05_KW2,share of cars with an engine power between 60 and 119 KW,5,very high
